### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        21Gi        17Gi       211Mi       212Gi       227Gi
Swap:            0B          0B          0B
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,.111645865,.111645865,.1116
SF-1,default,02,.089670791,.089670791,.0896
SF-1,default,03,.088207499,.088207499,.0882
SF-1,default,04,.092476390,.092476390,.0924
SF-1,default,05,.083559784,.083559784,.0835
SF-1,default,06,.082688912,.082688912,.0826
SF-1,default,07,.098358152,.098358152,.0983
SF-1,default,08,.085685940,.085685940,.0856
SF-1,default,09,.082849486,.082849486,.0828
SF-1,default,10,.087494048,.087494048,.0874
SF-1,default,11,.080814216,.080814216,.0808
SF-1,default,12,.088510780,.088510780,.0885
SF-1,default,13,.084795840,.084795840,.0847
SF-1,default,14,.088206111,.088206111,.0882
SF-1,default,15,.096527513,.096527513,.0965
SF-1,default,16,.083381314,.083381314,.0833
SF-1,default,17,.098876665,.098876665,.0988
SF-1,default,18,.088613970,.088613970,.0886
SF-1,default,19,.083880106,.083880106,.0838
SF-1,default,20,.102292562,.102292562,.1022
SF-1,default,21,.087623575,.087623575,.0876
SF-1,default,22,.080479883,.080479883,.0804
### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        21Gi        17Gi       211Mi       212Gi       227Gi
Swap:            0B          0B          0B
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,.126758744,.126758744,.1267
SF-1,default,02,.093944288,.093944288,.0939
SF-1,default,03,.097490724,.097490724,.0974
SF-1,default,04,.091683692,.091683692,.0916
SF-1,default,05,.094191938,.094191938,.0941
SF-1,default,06,.094099123,.094099123,.0940
SF-1,default,07,.089236224,.089236224,.0892
SF-1,default,08,.104334663,.104334663,.1043
SF-1,default,09,.096715249,.096715249,.0967
SF-1,default,10,.092715228,.092715228,.0927
SF-1,default,11,.101437551,.101437551,.1014
SF-1,default,12,.097724205,.097724205,.0977
SF-1,default,13,.107296120,.107296120,.1072
SF-1,default,14,.105100292,.105100292,.1051
SF-1,default,15,.101385830,.101385830,.1013
SF-1,default,16,.102963029,.102963029,.1029
SF-1,default,17,.084893524,.084893524,.0848
SF-1,default,18,.103961879,.103961879,.1039
SF-1,default,19,.092495369,.092495369,.0924
SF-1,default,20,.098702523,.098702523,.0987
SF-1,default,21,.091722728,.091722728,.0917
SF-1,default,22,.097391292,.097391292,.0973
### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        21Gi        15Gi       211Mi       213Gi       227Gi
Swap:            0B          0B          0B
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,1.173108718,1.173108718,1.1731
SF-1,default,02,1.109914428,1.109914428,1.1099
SF-1,default,03,1.014337951,1.014337951,1.0143
SF-1,default,04,.513534541,.513534541,.5135
SF-1,default,05,1.189408503,1.189408503,1.1894
SF-1,default,06,.309431706,.309431706,.3094
SF-1,default,07,1.431305098,1.431305098,1.4313
SF-1,default,08,1.417874267,1.417874267,1.4178
SF-1,default,09,1.186430306,1.186430306,1.1864
SF-1,default,10,1.387692974,1.387692974,1.3876
SF-1,default,11,.344185205,.344185205,.3441
SF-1,default,12,1.048371205,1.048371205,1.0483
SF-1,default,13,1.498332259,1.498332259,1.4983
SF-1,default,14,.708683125,.708683125,.7086
SF-1,default,15,.561430645,.561430645,.5614
SF-1,default,16,.615844347,.615844347,.6158
SF-1,default,17,.764656490,.764656490,.7646
SF-1,default,18,1.287635637,1.287635637,1.2876
SF-1,default,19,1.995408943,1.995408943,1.9954
SF-1,default,20,1.063846355,1.063846355,1.0638
SF-1,default,21,21.039596771,21.039596771,21.0395
SF-1,default,22,.489205820,.489205820,.4892
### Free memory before the run :###
              total        used        free      shared  buff/cache   available
Mem:          251Gi        22Gi        15Gi       211Mi       213Gi       226Gi
Swap:            0B          0B          0B
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,.873950771,.873950771,.8739
SF-1,default,02,.802983781,.802983781,.8029
SF-1,default,03,.826882095,.826882095,.8268
SF-1,default,04,.413692697,.413692697,.4136
SF-1,default,05,.938609258,.938609258,.9386
SF-1,default,06,.284876279,.284876279,.2848
SF-1,default,07,1.138774787,1.138774787,1.1387
SF-1,default,08,1.104722028,1.104722028,1.1047
SF-1,default,09,.869327947,.869327947,.8693
SF-1,default,10,.846040144,.846040144,.8460
SF-1,default,11,.296940412,.296940412,.2969
SF-1,default,12,.816845049,.816845049,.8168
SF-1,default,13,.565605841,.565605841,.5656
SF-1,default,14,.563723712,.563723712,.5637
SF-1,default,15,.469287810,.469287810,.4692
SF-1,default,16,.534568170,.534568170,.5345
SF-1,default,17,.671941088,.671941088,.6719
SF-1,default,18,1.083403330,1.083403330,1.0834
SF-1,default,19,1.504742547,1.504742547,1.5047
SF-1,default,20,.849950074,.849950074,.8499
SF-1,default,21,17.063709219,17.063709219,17.0637
SF-1,default,22,.457041843,.457041843,.4570
